L1,L2,L3,L4,L5,M12,tb
0.163668,0.302838,0.128365,-0.334903,-0.166048,-41686.9,2.07321
0.163668,0.302838,0.128365,-0.334903,-0.166048,-42658.,2.07321
0.163668,0.302838,0.128365,-0.334903,-0.166048,-43651.6,2.07321
0.163729,0.302868,0.12843,-0.334339,-0.164785,-38904.5,2.07321
0.163729,0.302868,0.12843,-0.334339,-0.164785,-39810.7,2.07321
0.163729,0.302868,0.12843,-0.334339,-0.164785,-40738.,2.07321
0.163729,0.302868,0.12843,-0.334339,-0.164785,-41686.9,2.07321
0.163729,0.302868,0.12843,-0.334339,-0.164785,-42658.,2.07321
0.16379,0.302898,0.128494,-0.33378,-0.163524,-38904.5,2.07321
0.16379,0.302898,0.128494,-0.33378,-0.163524,-39810.7,2.07321
0.16379,0.302898,0.128494,-0.33378,-0.163524,-40738.,2.07321
0.16379,0.302898,0.128494,-0.33378,-0.163524,-41686.9,2.07321
0.16385,0.302927,0.128558,-0.333225,-0.162266,-38018.9,2.07321
0.16385,0.302927,0.128558,-0.333225,-0.162266,-38904.5,2.07321
0.16385,0.302927,0.128558,-0.333225,-0.162266,-39810.7,2.07321
0.16385,0.302927,0.128558,-0.333225,-0.162266,-40738.,2.07321
0.16385,0.302927,0.128558,-0.333225,-0.162266,-41686.9,2.07321
0.16391,0.302956,0.128621,-0.332675,-0.161011,-37153.5,2.07321
0.16391,0.302956,0.128621,-0.332675,-0.161011,-38018.9,2.07321
0.16391,0.302956,0.128621,-0.332675,-0.161011,-38904.5,2.07321
0.16391,0.302956,0.128621,-0.332675,-0.161011,-39810.7,2.07321
0.16391,0.302956,0.128621,-0.332675,-0.161011,-40738.,2.07321
0.163969,0.302985,0.128684,-0.33213,-0.159758,-36307.8,2.07321
0.163969,0.302985,0.128684,-0.33213,-0.159758,-37153.5,2.07321
0.163969,0.302985,0.128684,-0.33213,-0.159758,-38018.9,2.07321
0.163969,0.302985,0.128684,-0.33213,-0.159758,-38904.5,2.07321
